Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
bin_0	0.0	12.77	Neural Network (Specific Model)	11	0.905	40706	324.29023746701847	1628184	0.57	1516	44	48265	None
bin_1	0.0	107.05	Neural Network (Specific Model)	11	0.878	40987	329.3476348120356	76358377	0.6	67965	1811	6554100	None
bin_10	9.18	24.23	Neural Network (Specific Model)	11	0.871	38675	317.5804535637149	2022722	0.57	1852	61	52371	None
bin_100	0.0	29.67	Neural Network (Specific Model)	11	0.898	36121	331.70035115099495	2836708	0.67	2563	88	48297	None
bin_101	0.0	17.47	Neural Network (Specific Model)	11	0.918	36707	331.66278819219997	5025902	0.67	4641	158	55502	None
bin_102	0.0	38.64	Neural Network (Specific Model)	11	0.907	34678	328.78452083733436	5660682	0.66	5207	176	55794	None
bin_103	0.0	14.97	Neural Network (Specific Model)	11	0.86	41374	267.1232227488152	3521094	0.58	3798	121	130991	None
bin_104	34.46	21.3	Gradient Boost (General Model)	11	0.899	38241	364.43698113207546	3211049	0.58	2650	98	50001	Low confidence prediction - substantial (65%) disagreement between completeness prediction models
bin_105	0.0	16.75	Neural Network (Specific Model)	11	0.885	38584	328.9160621761658	3223004	0.55	2895	101	48694	None
bin_106	0.0	27.53	Neural Network (Specific Model)	11	0.914	37102	337.9031975470872	5055093	0.6	4566	152	49239	None
bin_107	31.41	9.19	Gradient Boost (General Model)	11	0.878	39419	228.66957500703631	2766293	0.6	3553	68	410579	Low confidence prediction - substantial (68%) disagreement between completeness prediction models
bin_108	0.0	27.14	Neural Network (Specific Model)	11	0.874	30218	321.1734331888057	2795411	0.66	2537	93	49951	None
bin_109	0.0	25.3	Neural Network (Specific Model)	11	0.904	29791	355.3499251497006	3146845	0.68	2672	110	56319	None
bin_11	75.49	101.85	Neural Network (Specific Model)	11	0.863	1617274	285.5676232567862	33140173	0.59	33487	260	2916740	None
bin_110	0.0	19.98	Neural Network (Specific Model)	11	0.921	30582	353.7872832369942	3986879	0.67	3460	134	127821	None
bin_111	0.0	18.28	Neural Network (Specific Model)	11	0.904	34140	362.0293159609121	4789355	0.67	3991	162	86763	None
bin_112	0.0	42.4	Neural Network (Specific Model)	11	0.912	39574	311.7617787188989	3869718	0.55	3778	115	46863	None
bin_113	0.0	29.6	Neural Network (Specific Model)	11	0.824	39595	327.8884962701217	3031298	0.56	2547	86	50638	None
bin_114	0.0	22.81	Neural Network (Specific Model)	11	0.927	38088	307.8463687150838	2136029	0.6	2148	61	53725	None
bin_115	0.0	22.18	Neural Network (Specific Model)	11	0.888	37365	318.4859840660962	3644684	0.6	3389	113	49459	None
bin_116	0.0	55.98	Neural Network (Specific Model)	11	0.903	34750	357.70147580795816	6359370	0.67	5353	197	128031	None
bin_117	0.0	21.07	Neural Network (Specific Model)	11	0.912	37594	336.96754057428217	2660387	0.62	2403	77	50758	None
bin_118	0.0	40.44	Neural Network (Specific Model)	11	0.892	38864	316.7148492533108	3775576	0.54	3549	110	54511	None
bin_119	0.0	36.02	Neural Network (Specific Model)	11	0.934	37176	460.0900926998841	5092462	0.68	3452	155	67351	None
bin_12	73.56	111.71	Neural Network (Specific Model)	11	0.859	491566	308.22548476454295	38813306	0.49	36100	722	7001671	Low confidence prediction - substantial (26%) disagreement between completeness prediction models
bin_120	0.0	25.44	Neural Network (Specific Model)	11	0.887	38088	366.4480712166172	3336611	0.57	2696	103	50795	None
bin_121	0.0	28.47	Neural Network (Specific Model)	11	0.889	39378	297.6105173150919	2344672	0.55	2339	67	51715	None
bin_122	0.0	28.03	Neural Network (Specific Model)	11	0.9	37389	336.5138109139906	4987436	0.6	4453	148	49589	None
bin_123	0.0	21.64	Neural Network (Specific Model)	11	0.911	36028	363.3817414884001	3970331	0.67	3319	125	49667	None
bin_124	0.0	12.43	Neural Network (Specific Model)	11	0.831	37898	294.58120055839925	2282163	0.56	2149	68	49250	None
bin_125	0.0	15.71	Neural Network (Specific Model)	11	0.907	33147	326.0003859513701	2790975	0.67	2591	91	49933	None
bin_126	0.0	25.21	Neural Network (Specific Model)	11	0.93	36052	310.0552147239264	2116476	0.62	2119	66	50142	None
bin_127	0.0	20.22	Neural Network (Specific Model)	11	0.918	38430	339.4028644876974	3018203	0.61	2723	87	52494	None
bin_128	99.66	13.79	Gradient Boost (General Model)	11	0.915	5705191	362.578125	11320854	0.67	9536	154	5705191	None
bin_129	92.94	21.54	Gradient Boost (General Model)	11	0.912	41394	339.03868816008895	10020036	0.67	8995	211	3384073	None
bin_13	0.0	35.54	Neural Network (Specific Model)	11	0.929	35357	367.2294554952783	5894178	0.68	4977	192	49641	None
bin_130	0.0	16.04	Neural Network (Specific Model)	11	0.868	29155	293.73638071383846	3231254	0.62	3194	109	67494	None
bin_131	0.0	33.83	Neural Network (Specific Model)	11	0.89	35943	322.35773998270395	3765872	0.6	3469	117	46206	None
bin_132	31.1	18.38	Gradient Boost (General Model)	11	0.87	36761	245.98960653303638	2276445	0.59	2694	69	45952	Low confidence prediction - substantial (68%) disagreement between completeness prediction models
bin_133	0.0	20.7	Neural Network (Specific Model)	11	0.907	38173	298.7843208092485	2727275	0.6	2768	81	52556	None
bin_134	0.0	30.7	Neural Network (Specific Model)	11	0.909	35590	331.7508035545472	5778932	0.67	5289	180	76297	None
bin_135	0.0	20.76	Neural Network (Specific Model)	11	0.885	39649	338.9410441044104	2549463	0.56	2222	72	53073	None
bin_136	0.0	23.7	Neural Network (Specific Model)	11	0.884	35682	325.95813797722707	6600060	0.54	5972	219	75491	None
bin_137	0.0	26.59	Neural Network (Specific Model)	11	0.884	37459	286.4557445331482	5588055	0.59	5762	169	61424	None
bin_138	0.0	37.39	Neural Network (Specific Model)	11	0.938	14762	296.3485558157689	2419654	0.63	2562	145	49905	None
bin_139	0.0	31.73	Neural Network (Specific Model)	11	0.884	38276	317.5011618900077	4169659	0.56	3873	129	48826	None
bin_14	98.5	104.35	Gradient Boost (General Model)	11	0.888	6552361	331.97493889634757	32518548	0.6	29049	204	6726057	None
